polyid,alpha,I_index,flowtotalcnt,flowtotallength
2198,823.8826872619017,1.0,1.0,30.218679008795768
2200,823.8826872619017,3.0,5.0,49.224424548728194
2201,823.8826872619017,1.0,1.0,22.147810349573664
2235,823.8826872619017,2.0,2.0,6.277586764520329
2242,823.8826872619017,1.0,1.0,13.604471546664632
2258,823.8826872619017,6.0,10.0,85.11837047004872
2259,823.8826872619017,4.0,4.0,35.12759584851692
2261,823.8826872619017,1.0,1.0,2.1633183137196155
2263,823.8826872619017,2.0,2.0,12.998306311943685
2266,823.8826872619017,7.0,7.0,120.86293959750495
2267,823.8826872619017,4.0,4.0,32.829408408445715
2268,823.8826872619017,3.0,5.0,49.25702740316124
2269,823.8826872619017,6.0,7.0,96.17230278187478
2270,823.8826872619017,3.0,3.0,30.450648497897536
2271,823.8826872619017,5.0,7.0,59.67929114003489
2274,823.8826872619017,1.0,1.0,20.093357444308264
2275,823.8826872619017,1.0,1.0,1.1193669174269507
2281,823.8826872619017,7.0,14.0,97.66781213559533
2282,823.8826872619017,1.0,2.0,8.77045514745554
2283,823.8826872619017,1.0,1.0,10.691885452044195
2292,823.8826872619017,1.0,1.0,12.623055548106544
2293,823.8826872619017,1.0,1.0,31.05015826894079
2294,823.8826872619017,6.0,8.0,123.79217101820082
2295,823.8826872619017,5.0,10.0,66.55130676860544
2296,823.8826872619017,2.0,2.0,24.058128589377898
2297,823.8826872619017,5.0,6.0,110.02442467450295
2298,823.8826872619017,2.0,3.0,27.151766245326996
2299,823.8826872619017,1.0,1.0,2.7338665303329206
2300,823.8826872619017,2.0,3.0,44.30423266820307
2301,823.8826872619017,1.0,1.0,15.915358021202046
2302,823.8826872619017,3.0,5.0,46.4284786764356
